Waiting for logger
Logger started
Register: tagionwave logger

Register: heartbeat logger

Register: local-tagion logger

Register: discovery logger

Register: discovery-internal logger

Register: dart.sync logger

Register: tagion.dart logger

1673363319 | WARN  | local-tagion: Sender not found
1673363319 | WARN  | local-tagion: Sender not found
1673363320 | WARN  | local-tagion: Sender not found
1673363323 | WARN  | local-tagion: Sender not found
1673363324 | WARN  | local-tagion: Sender not found
1673363325 | WARN  | local-tagion: Sender not found
1673363326 | WARN  | local-tagion: Sender not found
1673363327 | WARN  | local-tagion: Sender not found
1673363329 | WARN  | local-tagion: Sender not found
1673363330 | WARN  | local-tagion: Sender not found
1673363331 | WARN  | local-tagion: Sender not found
1673363331 | WARN  | local-tagion: Sender not found
1673363333 | WARN  | local-tagion: Sender not found
1673363335 | WARN  | local-tagion: Sender not found
1673363336 | WARN  | local-tagion: Sender not found
1673363343 | WARN  | local-tagion: Sender not found
1673363343 | WARN  | local-tagion: Sender not found
1673363345 | WARN  | local-tagion: Sender not found
1673363348 | WARN  | local-tagion: Sender not found
1673363350 | WARN  | local-tagion: Sender not found
1673363352 | WARN  | local-tagion: Sender not found
1673363353 | WARN  | local-tagion: Sender not found
1673363355 | WARN  | local-tagion: Sender not found
1673363357 | WARN  | local-tagion: Sender not found
1673363358 | WARN  | local-tagion: Sender not found
1673363359 | WARN  | local-tagion: Sender not found
1673363360 | WARN  | local-tagion: Sender not found
1673363362 | WARN  | local-tagion: Sender not found
1673363364 | WARN  | local-tagion: Sender not found
1673363366 | WARN  | local-tagion: Sender not found
1673363367 | WARN  | local-tagion: Sender not found
1673363368 | WARN  | local-tagion: Sender not found
1673363370 | WARN  | local-tagion: Sender not found
1673363373 | WARN  | local-tagion: Sender not found
1673363375 | WARN  | local-tagion: Sender not found
1673363377 | WARN  | local-tagion: Sender not found
1673363379 | WARN  | local-tagion: Sender not found
1673363381 | WARN  | local-tagion: Sender not found
1673363382 | WARN  | local-tagion: Sender not found
1673363383 | WARN  | local-tagion: Sender not found
1673363387 | WARN  | local-tagion: Sender not found
1673363389 | WARN  | local-tagion: Sender not found
1673363390 | WARN  | local-tagion: Sender not found
1673363393 | WARN  | local-tagion: Sender not found
1673363394 | WARN  | local-tagion: Sender not found
1673363395 | WARN  | local-tagion: Sender not found
1673363396 | WARN  | local-tagion: Sender not found
1673363401 | WARN  | local-tagion: Sender not found
1673363402 | WARN  | local-tagion: Sender not found
1673363403 | WARN  | local-tagion: Sender not found
1673363403 | WARN  | local-tagion: Sender not found
1673363404 | WARN  | local-tagion: Sender not found
1673363405 | WARN  | local-tagion: Sender not found
1673363407 | WARN  | local-tagion: Sender not found
1673363413 | WARN  | local-tagion: Sender not found
1673363415 | WARN  | local-tagion: Sender not found
1673363416 | WARN  | local-tagion: Sender not found
1673363417 | WARN  | local-tagion: Sender not found
1673363419 | WARN  | local-tagion: Sender not found
1673363421 | WARN  | local-tagion: Sender not found
1673363425 | WARN  | local-tagion: Sender not found
1673363426 | WARN  | local-tagion: Sender not found
1673363427 | WARN  | local-tagion: Sender not found
1673363427 | WARN  | local-tagion: Sender not found
1673363428 | WARN  | local-tagion: Sender not found
1673363431 | WARN  | local-tagion: Sender not found
1673363434 | WARN  | local-tagion: Sender not found
1673363438 | WARN  | local-tagion: Sender not found
1673363439 | WARN  | local-tagion: Sender not found
1673363440 | WARN  | local-tagion: Sender not found
1673363441 | WARN  | local-tagion: Sender not found
1673363443 | WARN  | local-tagion: Sender not found
1673363444 | WARN  | local-tagion: Sender not found
1673363446 | WARN  | local-tagion: Sender not found
1673363447 | WARN  | local-tagion: Sender not found
1673363451 | WARN  | local-tagion: Sender not found
1673363452 | WARN  | local-tagion: Sender not found
1673363453 | WARN  | local-tagion: Sender not found
1673363455 | WARN  | local-tagion: Sender not found
